petition_id,should,their,people,government,there,would,being,which,children,public,british,these,other,years,health,allow,referendum,after,change,those
6258160f-9fee-4079-a64a-7c8e63bbead1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4d7eba57-0dff-4fc5-afe1-a6bed2ef852e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2cd8dbde-2bcd-48ec-9da7-8054e130373b,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7c8cf0ec-0afc-44d2-8b99-13afc1bfdd7a,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dc27cbbb-5308-4389-8637-70e4dad4b129,1,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
dc6e7847-45f6-4987-a643-d905ba342749,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cc984c00-b9c2-422b-a80f-3ea15184284a,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
09edabb7-ff5d-4bd2-85c6-260a027dd96f,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1f10abde-6f75-4dc4-9af1-52019c0b773c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d817ab18-b2ec-4ca5-ade1-a95a50800520,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75e6e94e-f90b-4888-b21e-78f4566bc1da,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91f27241-8d20-4b1f-a5f9-00eb045852ab,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0
074566f7-a786-4a64-9114-c90dac44a992,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
211d324c-79a5-4a41-ba4d-ce253434564c,0,0,0,1,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0
c215f5da-f510-4bf1-8972-7c9ae1faff42,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5c3c5e51-3388-4d50-8f75-8b0a329a309a,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
8b4f58f2-91c0-40b3-9383-6d2922425152,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0
28dc90c7-0672-4cd6-a0bc-9ed84b5987b2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
33823bb0-d0a4-4433-93d1-c6f569a047c5,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0
91de52d9-1a6e-45c8-89c6-919a9e83e652,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1b2518d0-5599-4cd9-8c7c-6bc05b7c69ec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
be5cfff2-f4d1-4745-b1d7-425ae6997ade,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
444488ca-a93c-413a-9eba-2f5499054dcf,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0
fb918109-a6ac-4e8f-8de7-a7892b6ebe75,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1
a63fb218-88d8-46a3-99d7-9848c3da1b82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
d5e19bcd-6321-4da3-84c7-7353f0628a01,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
984f47e2-47ad-4c48-858f-51ab4b4cb0a7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dfd42f1d-ab44-4c2f-aaef-ce15836cb178,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
faa9b140-2181-4bdd-bee2-ef2f0cf86c66,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
dea2a64d-aa68-4432-b6dc-e54496b76b7b,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1b2856cb-eb03-4a7d-8cd8-06e8c9b210ad,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
48045728-9847-47d0-b64e-3a9e44b90f32,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
261cc181-5ec5-40b1-9b37-5afa4cbec106,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
566345ef-83bb-4f9c-b95b-ca0f513aaee8,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
8391336f-af7e-400c-be98-7b8659c94dc5,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
c3e53308-3c0f-4503-a762-1c2ee6bcd111,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
